2,2,1,4,2,1
3,5,4,9,4,3
6,8,5,11,6,6
8,10,7,20,8,7
9,11,9,24,10,9
12,13,11,38,12,11
14,16,13,42,13,14
16,17,15,44,15,16
17,20,17,55,16,17
19,22,18,68,17,19
21,24,20,72,20,22
23,26,23,80,22,24
25,28,25,83,23,26
27,31,28,96,24,27
28,33,30,110,26,29
31,34,32,113,29,30
33,36,34,120,31,32
35,39,37,125,33,34
36,41,39,129,35,36
38,44,41,137,37,39
41,46,43,151,38,42
42,48,46,159,40,44
45,50,47,174,41,45
48,52,49,176,43,47
51,55,51,191,45,50
52,58,54,195,48,52
55,59,55,204,49,54
57,62,58,208,50,57
58,63,60,211,51,59
61,65,63,216,53,61
63,66,64,227,55,62
64,68,66,237,56,63
65,69,67,251,58,66
67,71,70,256,60,69
69,73,73,269,63,70
71,76,75,282,64,73
73,79,78,296,67,76
75,80,80,309,70,78
77,82,83,311,72,80
79,84,84,317,74,82
81,86,85,322,77,84
82,88,86,336,79,87
85,89,88,340,82,89
86,91,89,348,84,92
88,93,92,351,86,93
89,95,93,357,87,94
92,97,95,370,88,96
94,99,97,376,90,98
96,100,100,381,93,99
97,102,101,393,95,100
99,104,103,397,97,103
100,106,104,410,99,105
103,107,107,417,101,107
106,110,109,428,104,109
108,111,111,436,107,111
110,114,112,447,110,113
113,116,114,456,112,116
114,118,115,464,115,118
116,120,118,478,116,120
117,122,120,479,119,122
119,125,122,492,121,124
121,127,125,497,123,126
124,128,127,502,125,129
126,130,130,509,126,132
128,132,132,523,127,135
129,133,135,530,129,137
130,135,136,538,130,139
132,138,139,545,133,141
134,141,142,558,135,143
136,142,143,568,136,146
139,143,145,571,139,147
141,146,146,585,142,150
142,148,149,591,144,152
144,150,151,599,146,154
146,152,152,601,148,157
148,154,153,613,150,159
150,157,155,618,152,161
153,158,156,631,153,163
155,160,159,642,155,165
157,161,160,646,157,166
158,163,163,661,159,168
160,165,165,667,161,169
161,167,167,682,164,172
163,170,168,688,165,174
166,173,169,689,168,176
167,175,170,703,170,178
170,176,173,708,171,179
171,177,176,717,172,181
173,179,179,727,174,183
174,181,182,730,177,184
175,182,184,739,179,186
177,184,186,742,182,189
178,186,188,751,185,192
181,188,191,757,186,193
183,189,192,764,187,195
186,191,195,773,190,197
188,194,197,777,192,199
189,196,199,789,195,201
191,199,200,791,197,204
193,200,202,796,199,205
194,202,204,807,202,207
196,204,207,821,204,209
197,206,209,832,206,211
200,208,211,843,208,212
203,211,213,847,209,215
206,212,216,861,211,217
208,215,217,876,213,218
210,217,220,886,215,220
211,220,223,892,217,221
213,222,225,895,219,224
216,224,227,899,221,226
218,225,230,907,223,228
220,227,233,918,226,231
221,230,235,919,228,232
223,231,237,923,230,233
226,233,239,926,232,236
228,235,241,927,235,239
230,236,243,930,236,240
232,238,244,936,239,241
235,239,247,945,242,243
